2020-12-21/12:02:12		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:13		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:14		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_13012020_090817.csv: File loaded successfully!!
2020-12-21/12:02:15		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:16		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:16		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:16		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:16		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:16		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:17		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:18		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:19		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
2020-12-21/12:02:20		 wafer_16012020_051629.csv: File loaded successfully!!
